what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1478354730734
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1478354730734
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1478354730734
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1478354730750
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1478354730750
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1478354730765
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1478354730781
opened,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1478354731249
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1478354731296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478354736724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478354743555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1478354743575
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1478354745493
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1478354745500
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1478354745503
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1478354745863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478354755734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478354826065
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1478354827921
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1478354827923
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1478354827930
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1478354827931
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1478354827965
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1478354828304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1478354829775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478354833204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478354840579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1478354840608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478354843923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478354879274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478354888830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478354939297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1478354942879
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1478354947351
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1478354947406
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1478354949654
started,bundle,org.eclipse.mylyn.java.tasks,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.tasks",1478354954672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1478354955588
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1478354955625
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1478354955626
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1478354955629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1478354956038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1478354958132
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1478354958966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1478354960672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1478354964522
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1478354966442
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1478354967231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478354973174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355035920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1478355040283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355043293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355046921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1478355051000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355071243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355090213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355091075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355095510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355110869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355190916
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1478355193412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355206331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355392227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355393188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355514162
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1478355520814
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1478355523711
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1478355523751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1478355527079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1478355527295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1478355527454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355533367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355537538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355538256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355569960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355571433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478355586273
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1478355586283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1478355588780
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1478355596724
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1478355596741
